decision,time,botID,podNull,podID,inUsedPodsValues,inBotToPodKey,currentTaskType,destWaypointNull,isRa,podJustRegisteredCount
38,343.866666666654,13,False,98,True,False,ExtractTask,False,False,2
38,343.866666666654,14,True,-1,False,False,RestTask,True,True,-1
38,343.866666666654,7,True,-1,False,False,RestTask,True,True,-1
39,357.644444444425,1,True,-1,False,False,RestTask,True,True,-1
39,357.644444444425,10,False,12,True,False,ExtractTask,False,False,2
39,357.644444444425,11,False,38,True,False,ExtractTask,False,False,3
39,357.644444444425,3,False,46,True,False,ExtractTask,True,False,2
39,357.644444444425,5,False,58,True,False,ExtractTask,True,False,3
39,357.644444444425,4,True,-1,False,False,RestTask,True,True,-1
39,357.644444444425,12,False,86,True,False,ExtractTask,True,False,3
39,357.644444444425,13,False,98,True,False,ExtractTask,True,False,2
39,357.644444444425,14,True,-1,False,False,RestTask,True,True,-1
39,357.644444444425,7,True,-1,False,False,RestTask,True,True,-1
40,363.999999999978,1,True,-1,False,False,RestTask,True,True,-1
40,363.999999999978,10,False,12,True,False,ExtractTask,False,False,2
40,363.999999999978,11,False,38,True,False,ExtractTask,True,False,3
40,363.999999999978,3,False,46,True,False,ExtractTask,True,False,2
40,363.999999999978,5,False,58,True,False,ExtractTask,True,False,3
40,363.999999999978,4,True,-1,False,False,RestTask,True,True,-1
40,363.999999999978,12,False,86,True,False,ExtractTask,True,False,3
40,363.999999999978,13,False,98,True,False,ExtractTask,True,False,2
40,363.999999999978,14,True,-1,False,False,RestTask,True,True,-1
40,363.999999999978,7,True,-1,False,False,RestTask,True,True,-1
41,377.777777777749,1,True,-1,False,False,RestTask,True,True,-1
41,377.777777777749,10,False,12,True,False,ExtractTask,True,False,2
41,377.777777777749,11,False,38,True,False,ExtractTask,True,False,3
41,377.777777777749,3,False,46,True,False,ExtractTask,True,False,2
41,377.777777777749,5,False,58,True,False,ExtractTask,True,False,3
41,377.777777777749,4,True,-1,False,False,RestTask,True,True,-1
41,377.777777777749,12,False,86,True,False,ExtractTask,True,False,3
41,377.777777777749,13,False,98,True,False,ExtractTask,True,False,2
41,377.777777777749,14,True,-1,False,False,RestTask,True,True,-1
41,377.777777777749,7,True,-1,False,False,RestTask,True,True,-1
42,384.133333333301,1,True,-1,False,False,RestTask,True,True,-1
42,384.133333333301,10,False,12,True,False,ExtractTask,True,False,2
42,384.133333333301,11,False,38,True,False,ExtractTask,True,False,3
42,384.133333333301,3,False,46,True,False,ExtractTask,True,False,2
