decision,time,solved,pendingOrders,stationsWithCap,podsPa,podsPb,botsRa,lambda,mu,delta,epsilon,valuedLines,boundLines,valuedOrders,boundOrders,newTrips,boundUnits,objective,solveSec,qmax,rho,unitsFromSunk,unitsFromNew,inboundCoverUnits,splitsDeferred,splitsCommitted
96,800.977777777914,1,85,1,86,3,3,10.2765696680922,18.2042091263347,0.0940298507462687,0.0102765696680922,34,1,22,1,1,2,-92.121102904446,0.0565252,0,8.32872312969563,2,0,29,0,0
97,801.777777777914,1,84,1,86,3,3,10.2310752789137,18.0124564769608,0.0929549902152642,0.0102310752789137,29,1,18,1,2,2,-50.3181015349464,0.1680252,0,8.30444421989752,2,0,17,0,0
98,821.022222222374,1,85,1,87,3,4,10.7149118165785,18.7510956790124,0.0921369995176073,0.0107149118165785,34,1,20,1,1,1,-82.5534598071196,0.0844877,0,8.59922859164898,1,0,27,0,0
99,821.822222222375,1,84,1,87,3,4,10.6357140991057,18.5032286381702,0.091124822021832,0.0106357140991057,28,1,17,1,2,2,-67.3275220202844,0.0570015,0,8.54896006700267,2,0,16,0,0
100,831.066666666827,1,84,1,88,3,4,10.652523841387,18.4259871851018,0.0903981264637002,0.010652523841387,33,1,19,1,1,1,-77.4516322720243,0.0725182,0,8.57561667734299,1,0,26,0,0
101,841.111111111279,1,84,1,88,3,4,10.8000645994834,18.5761111111115,0.0894833948339483,0.0108000645994834,32,1,18,1,1,1,-75.2093865752828,0.0530051,0,8.65346790890287,1,0,25,0,0
102,891.155555555763,1,87,1,89,3,4,11.2173629075959,19.3351913275667,0.0886363636363636,0.0112173629075959,31,2,17,1,1,4,-68.8948752321433,0.0900117,0,8.59341836780741,3,1,24,0,0
103,891.866666666875,1,86,1,88,2,3,11.1421041432847,19.352075617284,0.0883012102196325,0.0111421041432847,24,1,14,0,2,3,-50.6385034589561,0.0865137,0,8.55091713321852,3,0,11,0,1
104,901.200000000216,1,87,1,89,4,4,11.0734135456975,19.2706157808242,0.0878048780487805,0.0110734135456975,29,2,16,1,0,3,-102.982000703206,0.0494511,0,8.57709488510671,3,0,37,0,0
105,901.911111111328,1,86,1,89,2,4,11.002592335391,19.0429482727921,0.0875656742556918,0.011002592335391,22,1,14,1,2,1,-43.7286106060141,0.0630091,0,8.53649405332059,1,0,8,0,0
106,911.244444444668,1,86,1,89,4,4,11.1853483939187,19.3592568356285,0.0871639202081526,0.0111853483939187,27,2,16,0,0,2,-82.3945946795326,0.0555767,0,8.62869733245158,2,0,35,1,0
107,921.288888889121,1,86,1,90,4,4,10.9296429800604,19.2306376484607,0.0870124303471925,0.0109296429800604,38,4,21,1,1,4,-112.307006513725,0.0809955,0,8.58316595609264,3,1,35,0,1
108,921.955555555788,1,86,1,89,2,3,10.7793275818668,18.9985648630402,0.0873049346267398,0.0107793275818668,20,2,14,1,2,4,-30.0932441283993,0.0835203,0,8.53868083732142,2,2,6,0,0
109,942.000000000248,1,86,1,88,3,2,10.8941049382716,19.2328025453438,0.0874111250522794,0.0108941049382716,18,2,13,1,1,2,-50.9113961003551,0.0649709,0,8.55965388007058,1,1,12,0,0
110,961.333333333597,1,85,1,87,4,2,11.1774052372686,19.6286140752033,0.0875882108758821,0.0111774052372686,31,1,20,1,0,2,-111.193924092977,0.052514,0,8.7002505630631,2,0,42,0,0
111,982.044444444725,1,88,1,87,3,2,11.2660042837378,19.6815737486985,0.0868852459016393,0.0112660042837378,16,1,13,1,0,2,-84.0394188685449,0.0530007,0,8.59774011127357,2,0,22,0,0
112,1002.08888888919,1,88,1,87,3,3,11.4370985804584,19.8787665803205,0.0867263843648208,0.0114370985804584,15,1,12,1,0,2,-64.8322540381968,0.0845498,0,8.60730099354083,2,0,20,0,0
113,1021.37777777809,1,87,1,87,3,3,11.5871775421255,20.1753208968773,0.0866046135167948,0.0115871775421255,30,2,19,1,1,4,-102.672846396772,0.0735199,0,8.70508769662221,3,1,34,0,0
114,1022.13333333365,1,88,1,86,3,2,11.5158240119314,19.951834625323,0.0863654538184726,0.0115158240119314,15,1,11,1,0,2,-63.2556509755131,0.075003,0,8.66594837261505,2,0,20,0,0
115,1032.1777777781,1,88,1,87,3,3,11.5267909979424,19.8737775826593,0.086248012718601,0.0115267909979424,24,1,14,1,1,2,-61.2934983557627,0.1015134,0,8.64509324845681,2,0,18,0,0
116,1041.42222222255,1,86,1,87,4,3,11.6212748344372,19.9410511363639,0.0858267716535433,0.0116212748344372,28,1,17,1,0,2,-104.161378421318,0.0835793,0,8.7304104477613,2,0,35,0,0
117,1072.22222222257,1,90,1,87,2,3,11.9739739938678,20.4499331131226,0.0852803738317757,0.0119739739938678,22,1,14,1,1,1,-69.0132600098945,0.1135172,0,8.75021176474956,1,0,14,0,1
118,1091.46666666703,1,88,1,87,3,4,12.1225583642103,20.7430443120932,0.0849420849420849,0.0121225583642103,33,2,20,1,1,3,-101.619365622442,0.101587,0,8.84774401937623,3,0,30,0,0
119,1092.26666666703,1,89,1,87,2,4,12.1403272647381,20.7734488752185,0.0846359130766298,0.0121403272647381,25,2,15,1,2,3,-67.1566354593895,0.1035549,0,8.8189169753286,2,1,13,1,0
120,1094.40000000037,1,90,1,87,2,4,12.0987693896854,20.6077940153983,0.0845921450151057,0.0120987693896854,22,1,14,1,1,2,-78.1933867580454,0.0755229,0,8.80426880470067,2,0,15,0,0
121,1101.51111111149,1,87,1,88,3,5,12.0342306426753,20.5366762054351,0.0842696629213483,0.0120342306426753,31,2,19,1,1,2,-96.3184883909577,0.0796224,0,8.87030145962454,2,0,27,0,0
122,1121.55555555595,1,88,1,90,3,5,12.240806424832,20.7962087647684,0.0840429470566457,0.012240806424832,29,1,17,1,1,2,-92.447911218111,0.105536,0,8.91266089918645,2,0,25,0,0
123,1122.3111111115,1,89,1,90,2,5,12.2501391241409,20.8120643184329,0.0835164835164835,0.0122501391241409,25,2,14,1,2,3,-68.3546262013064,0.1085243,0,8.87854120006542,2,1,13,1,0
124,1127.64444444484,1,89,1,90,2,5,12.2658227848101,20.8387096774194,0.0834845735027223,0.0122658227848101,25,2,14,1,2,3,-68.424868679397,0.0815246,0,8.84931506849315,2,1,13,1,0
125,1128.97777777817,1,90,1,90,2,5,12.2658227848101,20.8387096774194,0.0834532374100719,0.0122658227848101,25,2,14,1,2,3,-68.4075392827519,0.0925155,0,8.84931506849315,2,1,13,1,0
126,1131.6000000004,1,90,2,90,5,5,12.188679245283,20.6170212765958,0.0834224598930481,0.012188679245283,35,3,22,2,2,4,-133.734753081416,0.2230206,0,8.84931506849315,3,1,33,1,0
127,1140.4888888893,1,90,1,89,2,5,12.2191346135182,20.6685362079722,0.0834507042253521,0.0122191346135182,25,2,14,1,2,3,-67.8100495965865,0.0965221,0,8.79114209750854,2,1,12,1,0
