#TimeStamp;PodsHandledAtIStations;PodsHandledAtOStations;ActiveIStations;ActiveOStations;IStationIdleTimes;OStationIdleTimes;IStationActiveTimes;OStationActiveTimes;IStationRequests;OStationRequests;IStationBundleBacklog;OStationItemBacklog;IStationAssignedBots;OStationAssignedBots;IStationPodsHandled;OStationPodsHandled;IStationBundlesStored;OStationItemsPicked
4920;85;85;2;2;0/4461.11,1/4101.91;0/67.96,1/81.42;0/4920,1/4920;0/4920,1/4920;0/0,1/0;0/0,1/0;0/0,1/0;0/10,1/8;0/3,1/2;0/5,1/5;0/32,1/53;0/42,1/43;0/46,1/82;0/486,1/484
4980;85;86;2;2;0/4521.11,1/4161.91;0/68.13,1/81.6;0/4980,1/4980;0/4980,1/4980;0/0,1/0;0/0,1/0;0/0,1/0;0/7,1/11;0/3,1/2;0/5,1/5;0/32,1/53;0/42,1/44;0/46,1/82;0/492,1/490
5040;85;88;2;2;0/4581.11,1/4221.91;0/68.27,1/81.73;0/5040,1/5040;0/5040,1/5040;0/0,1/0;0/0,1/0;0/0,1/1;0/9,1/9;0/3,1/2;0/5,1/5;0/32,1/53;0/43,1/45;0/46,1/82;0/498,1/496
5100;86;89;2;2;0/4641.11,1/4271.96;0/68.44,1/81.87;0/5100,1/5100;0/5100,1/5100;0/0,1/0;0/0,1/0;0/0,1/0;0/11,1/9;0/3,1/2;0/5,1/5;0/32,1/54;0/44,1/45;0/46,1/83;0/504,1/502
5160;86;90;2;2;0/4701.11,1/4331.96;0/68.58,1/82.04;0/5160,1/5160;0/5160,1/5160;0/0,1/0;0/0,1/0;0/0,1/0;0/10,1/9;0/3,1/2;0/5,1/5;0/32,1/54;0/44,1/46;0/46,1/83;0/510,1/508
5220;86;91;2;2;0/4761.11,1/4391.96;0/68.71,1/82.22;0/5220,1/5220;0/5220,1/5220;0/0,1/0;0/0,1/0;0/0,1/0;0/10,1/9;0/3,1/2;0/5,1/5;0/32,1/54;0/45,1/46;0/46,1/83;0/516,1/514
5280;86;93;2;2;0/4821.11,1/4451.96;0/68.84,1/82.4;0/5280,1/5280;0/5280,1/5280;0/0,1/0;0/0,1/0;0/0,1/0;0/9,1/8;0/3,1/2;0/5,1/5;0/32,1/54;0/46,1/47;0/46,1/83;0/522,1/520
5340;86;93;2;2;0/4881.11,1/4511.96;0/68.98,1/82.58;0/5340,1/5340;0/5340,1/5340;0/0,1/0;0/0,1/0;0/0,1/0;0/11,1/8;0/3,1/2;0/5,1/5;0/32,1/54;0/46,1/47;0/46,1/83;0/528,1/526
5400;86;95;2;2;0/4941.11,1/4571.96;0/69.11,1/82.76;0/5400,1/5400;0/5400,1/5400;0/0,1/0;0/0,1/0;0/0,1/0;0/9,1/12;0/3,1/2;0/5,1/5;0/32,1/54;0/47,1/48;0/46,1/83;0/534,1/532
5459.96;86;96;2;2;0/5001.07,1/4631.91;0/69.24,1/82.89;0/5459.96,1/5459.96;0/5459.96,1/5459.96;0/0,1/0;0/0,1/0;0/0,1/0;0/8,1/10;0/3,1/2;0/5,1/5;0/32,1/54;0/47,1/49;0/46,1/83;0/540,1/538
