decision,time,solved,pendingOrders,stationsWithCap,podsInModel,xps,children,fastPath,units,sumUs,objective,solveSec,partialOrders,partialOnlyNewTrips,odCount,odFired,sunkOrdersStar,sunkItemsStar,sunkUnitsFinal,newTripsFinal,solve1Sec,solve2Sec,icWhole,icPackOcc,icPackBudget,icProcUnits,icEpSum,icShortfall,icSgOpen,icGateForegone
104,828.666666666825,1,98,1,89,2,1,0,1,0,-70.0294117647059,0.0029975,0,0,0,0,0,0,1,0,0,0.0029975,0,21,-1,1,0,0,1,0
105,838.711111111277,1,98,1,89,2,0,1,1,0,-70.0263157894737,0.0020012,0,0,0,0,0,0,1,0,0,0.0020012,0,21,-1,1,0,0,0,0
106,845.688888889061,1,100,1,89,2,0,1,1,0,-67.5,0.0040003,0,0,0,0,0,0,1,0,0,0.0040003,0,21,-1,0,0,0,1,0
107,848.75555555573,1,99,1,89,2,1,0,3,0,-30.0777777777778,0.0029998,1,0,0,0,0,0,3,0,0,0.0029998,0,21,-1,3,0,0,0,0
108,855.733333333513,1,100,1,89,2,0,1,1,0,-67.0704225352113,0.0040096,0,0,0,0,0,0,1,0,0,0.0040096,0,22,-1,0,0,0,1,0
109,875.777777777973,1,100,1,89,2,1,0,3,0,-68.5,0.0049999,0,0,0,0,0,0,3,0,0,0.0049999,0,22,-1,0,0,0,0,0
110,878.800000000198,1,100,1,89,2,1,0,1,0,-30.0135135135135,0.0020018,1,0,0,0,0,0,1,0,0,0.0020018,0,22,-1,1,0,0,0,0
111,885.822222222426,1,100,1,88,2,1,0,1,0,-29.0642857142857,0.0040044,1,0,0,0,0,0,1,0,0,0.0040044,0,23,-1,0,0,0,0,0
112,895.866666666878,1,100,1,87,2,0,1,4,0,-88.2033248081841,0.0994956,0,0,0,0,0,0,3,1,0,0.0994956,0,24,-1,3,0,0,1,0
113,898.844444444658,1,100,1,87,2,0,0,0,1,0,0.001,0,0,0,0,0,0,0,0,0,0.001,0,24,-1,0,0,0,0,0
114,908.888888889111,1,100,1,88,2,0,0,0,2,0,0.0019993,0,0,0,0,0,0,0,0,0,0.0019993,0,23,-1,0,0,0,0,0
115,918.933333333563,1,100,1,88,2,0,0,0,3,0,0.0010012,0,0,0,0,0,0,0,0,0,0.0010012,0,23,-1,0,0,0,0,0
116,945.911111111363,1,100,2,90,4,1,0,3,3,-30.1136363636364,0.0039998,1,0,0,0,0,0,3,0,0,0.0039998,0,23,-1,3,0,0,0,0
117,948.977777778032,1,100,1,88,2,0,0,0,4,0,0.0019988,0,0,0,0,0,0,0,0,0,0.0019988,0,24,-1,0,0,0,0,0
118,949.022222222476,1,100,1,88,2,0,0,0,4,0,0.0019975,0,0,0,0,0,0,0,0,0,0.0019975,0,24,-1,0,0,0,0,0
