decision,time,solved,pendingOrders,stationsWithCap,podsPa,podsPb,botsRa,lambda,mu,delta,epsilon,valuedLines,boundLines,valuedOrders,boundOrders,newTrips,boundUnits,objective,solveSec
1097,12247.8222221797,1,89,1,88,4,1,27.8166288614263,42.1496246488024,0.928925619834711,0.0278166288614263,30,2,14,1,1,3,-1300.37481068395,0.1334889
1098,12248.8444444019,1,87,1,88,5,0,27.7827498034594,42.1111269661587,0.92668863261944,0.0277827498034594,30,1,9,1,0,1,-1128.74567519759,0.0100037
1099,12257.9111110684,1,88,1,88,4,0,27.7866649813575,42.1034133193712,0.927512355848435,0.0277866649813575,22,2,9,1,0,2,-925.593307189533,0.0130021
1100,12268.9777777349,1,87,1,88,4,1,27.7837282904376,42.1117784649543,0.929159802306425,0.0277837282904376,34,2,12,1,1,4,-1316.30141078666,0.1341057
1101,12279.0666666237,1,86,1,88,4,1,27.7722555808835,42.107174573678,0.927631578947368,0.0277722555808835,32,1,11,1,1,2,-1222.16948317183,0.1430461
1102,12298.1333332901,1,84,1,90,3,2,27.8039592954225,42.1416135189879,0.928453947368421,0.0278039592954225,31,3,11,1,2,4,-1185.74166273279,0.1991253
1103,12319.2888888453,1,89,1,91,4,2,27.8102211451604,42.190269080751,0.928630024610336,0.0278102211451604,36,2,16,1,2,5,-1494.70083747769,0.1460327
1104,12328.3111110674,1,85,1,91,3,2,27.7957540064662,42.1810447055473,0.927168576104746,0.0277957540064662,28,3,13,1,2,6,-1189.32609274635,0.2120224
1105,12348.4444444005,1,84,1,89,4,1,27.7786813204261,42.1941333692836,0.92886345053148,0.0277786813204261,25,1,13,1,1,2,-1128.60187459542,0.2130512
1106,12349.4666666227,1,88,1,89,5,1,27.763236613496,42.1969647392623,0.928921568627451,0.027763236613496,35,2,16,1,1,2,-1499.80971166424,0.124514
1107,12368.5777777335,1,84,1,88,4,0,27.7576562736745,42.2010914208088,0.929795918367347,0.0277576562736745,17,1,9,1,0,2,-796.864771544054,0.0100062
1108,12378.6666666222,1,84,1,88,4,0,27.767697387868,42.2027007558523,0.930612244897959,0.027767697387868,16,1,8,1,0,1,-732.533004505798,0.0100049
1109,12399.7333332886,1,90,1,89,5,1,27.793994717216,42.2290250236076,0.931428571428571,0.027793994717216,36,1,18,1,1,2,-1605.82928317102,0.16497
